Row Labels,roles_required,roles_filled,Min of ass_day_rate,Max of ass_day_rate,Sum of all_bill_days,Sum of total_billed
Big_Hand,5,3,400,600,102,54500
Infrastructure,4,3,400,600,102,54500
30001,1,,,,0,0
Project Manager,1,,,,0,0
30002,3,3,400,600,102,54500
.NET Developer,2,2,400,500,42,18500
Business Analyst,1,1,600,600,60,36000
Sales,1,,,,0,0
30003,1,,,,0,0
Sales Consultant,1,,,,0,0
Hamilton,8,6,250,600,229,107100
Infrastructure,5,4,400,600,155,81000
10001,2,1,500,500,53,26500
Project Manager,2,1,500,500,53,26500
10002,3,3,400,600,102,54500
.NET Developer,1,1,400,400,25,10000
Business Analyst,1,1,600,600,60,36000
Sales Consultant,1,1,500,500,17,8500
Sales,3,2,250,450,74,26100
10003,3,2,250,450,74,26100
Agile Specialist,1,1,250,250,36,9000
Infrastructure Engineer,1,1,450,450,38,17100
Sales Consultant,1,,,,0,0
Satigo,6,4,300,750,224,120400
Infrastructure,4,3,300,750,188,107800
20001,1,,,,0,0
Project Manager,1,,,,0,0
20002,3,3,300,750,188,107800
.NET Developer,1,1,500,500,59,29500
Business Analyst,1,1,750,750,88,66000
Sales Consultant,1,1,300,300,41,12300
Sales,2,1,350,350,36,12600
20003,2,1,350,350,36,12600
Agile Specialist,1,1,350,350,36,12600
Sales Consultant,1,,,,0,0
Grand Total,19,13,250,750,555,282000
